,City,Latitude,Longitude
0,San Diego,33.04581,-117.12715
1,San Diego,33.05924,-117.1142
2,Santa Ana,33.741793,-117.892375
3,San Luis Obispo,35.30236,-120.77619
4,Morro Bay,35.3559029814346,-120.786047717957
5,Los Osos,35.3229,-120.8414
6,Los Osos,35.3237,-120.8407
7,Los Osos,35.3236845978058,-120.840683881013
8,Los Osos,35.3257,-120.8402
9,Morro Bay,35.35422598,-120.826942
10,San Luis Obispo,35.33558,-120.72793
11,San Luis Obispo,35.3221198929604,-120.722205085187
12,Morro Bay,35.3803776587473,-120.78232722249
13,San Luis Obispo,35.33861993802,-120.767515394151
14,Los Osos,35.2879285841812,-120.802216812884
15,San Luis Obispo,35.348038,-120.726063
16,Los Osos,35.325,-120.8403
17,San Luis Obispo,35.3453048860425,-120.728924477135
18,Nipomo,35.016388,-120.586259
19,Watsonville,36.86978,-121.81516
20,Gilroy,36.95994,-121.53456
21,San Juan Bautista,36.900329981,-121.596157
22,Watsonville,36.92045,-121.73198
23,Hollister,36.963420851,-121.4908263
24,Gilroy,36.976682661,-121.510467
25,Gilroy,36.98931,-121.53286
26,Watsonville,36.90533,-121.75105
27,San Juan Bautista,36.87536,-121.56141
28,Hollister,36.9425,-121.44483
29,Watsonville,36.87385,-121.74521
30,Watsonville,36.890512981,-121.800709
31,Salinas,36.65683,-121.6135
32,Salinas,36.72545,-121.73017
33,Salinas,36.70852,-121.7489
34,Gonzales,36.55974,-121.50964
35,Salinas,36.56376,-121.51393
36,Salinas,36.73684,-121.73386
37,Salinas,36.70247,-121.70868
38,Salinas,36.75184,-121.74208
39,Moss Landing,36.796228981,-121.782303
40,Salinas,36.70808,-121.59958
41,Castroville,36.772290981,-121.787855
42,Salinas,36.75932,-121.75487
43,Morro Bay,35.35746,-120.8121
44,San Luis Obispo,35.24687198,-120.681709
45,Arroyo Grande,35.12445,-120.56913
46,San Luis Obispo,35.32067,-120.8061
47,Santa Maria,34.94544,-120.41679
48,Santa Maria,34.955227,-120.486578
49,Arroyo Grande,35.022795,-120.586157
50,Guadalupe,34.957554,-120.631454
51,Guadalupe,34.941374,-120.572882
52,Guadalupe,34.96377398,-120.641796
53,Lompoc,34.78235698,-120.529225
54,Lompoc,34.67213098,-120.492103
55,Lompoc,34.67661698,-120.553388
56,Carpinteria,34.41676,-119.54442
57,Goleta,34.43844,-119.90612
58,Carpinteria,34.40693,-119.51733
59,Goleta,34.44605,-119.87557
60,Goleta,34.43949,-119.85358
61,,-88.0,-88.0
62,Bishop,37.35902,-118.45022
63,Bishop,37.36487,-118.4407
64,Bishop,37.36862,-118.4322
65,Bishop,37.3641,-118.43175
66,Bishop,37.36193,-118.43713
67,Bishop,37.36062,-118.44213
68,Bishop,37.36022,-118.44358
69,Bishop,37.35813,-118.45032
70,Bishop,37.35875,-118.45018
71,Bishop,37.35068,-118.46193
72,Bishop,37.335,-118.47912
73,Dixon Lane-MeadowCreek,37.38,-118.4049
74,Dixon Lane-MeadowCreek,37.3802,-118.4049
75,Dixon Lane-MeadowCreek,37.3801,-118.405
76,Bishop,37.3678,-118.3863
77,Bishop,37.3686,-118.4047
78,Bishop,37.376,-118.41835
79,Bishop,37.35958,-118.44947
80,Bishop,37.3616,-118.44847
81,Bishop,37.36137,-118.44723
82,Bishop,37.36243,-118.44507
83,Bishop,37.36368,-118.44203
84,West Bishop,37.36633,-118.4371
85,Santa Cruz,36.9629,-122.009
86,,36.960806,-122.024308
87,Santa Cruz,36.96147,-122.023339
88,Santa Cruz,36.961623,-122.023142
89,Santa Cruz,36.961759,-122.022927
90,Santa Cruz,36.961994,-122.022875
