,Location,Type,Start,End,Duration
0,Location 1,Wet,2017-01-01,2017-01-01,1
1,Location 1,Dry,2017-01-02,2017-01-05,4
2,Location 1,Wet,2017-01-06,2017-01-06,1
3,Location 1,Dry,2017-01-07,2017-01-09,3
4,Location 1,Wet,2017-01-10,2017-01-10,1
5,Location 1,Dry,2017-01-11,2017-01-11,1
6,Location 1,Wet,2017-01-12,2017-01-13,2
7,Location 1,Dry,2017-01-14,2017-01-18,5
8,Location 1,Wet,2017-01-19,2017-01-21,3
9,Location 1,Dry,2017-01-22,2017-01-22,1
10,Location 1,Wet,2017-01-23,2017-01-24,2
11,Location 1,Dry,2017-01-25,2017-02-06,13
12,Location 1,Wet,2017-02-07,2017-02-08,2
13,Location 1,Dry,2017-02-09,2017-02-11,3
14,Location 1,Wet,2017-02-12,2017-02-12,1
15,Location 1,Dry,2017-02-13,2017-02-17,5
16,Location 1,Wet,2017-02-18,2017-02-19,2
17,Location 1,Dry,2017-02-20,2017-02-26,7
18,Location 1,Wet,2017-02-27,2017-02-28,2
19,Location 1,Dry,2017-03-01,2017-03-05,5
20,Location 1,Wet,2017-03-06,2017-03-06,1
21,Location 1,Dry,2017-03-07,2017-05-06,61
22,Location 1,Wet,2017-05-07,2017-05-08,2
23,Location 1,Dry,2017-05-09,2017-12-31,237
24,Location 1,Wet,2017-01-01,2017-01-01,1
25,Location 1,Dry,2017-01-02,2017-01-04,3
26,Location 1,Wet,2017-01-05,2017-01-06,2
27,Location 1,Dry,2017-01-07,2017-01-08,2
28,Location 1,Wet,2017-01-09,2017-01-10,2
29,Location 1,Dry,2017-01-11,2017-01-11,1
30,Location 1,Wet,2017-01-12,2017-01-13,2
31,Location 1,Dry,2017-01-14,2017-01-18,5
32,Location 1,Wet,2017-01-19,2017-01-21,3
33,Location 1,Dry,2017-01-22,2017-01-22,1
34,Location 1,Wet,2017-01-23,2017-01-24,2
35,Location 1,Dry,2017-01-25,2017-02-05,12
36,Location 1,Wet,2017-02-06,2017-02-08,3
37,Location 1,Dry,2017-02-09,2017-02-10,2
38,Location 1,Wet,2017-02-11,2017-02-11,1
39,Location 1,Dry,2017-02-12,2017-02-17,6
40,Location 1,Wet,2017-02-18,2017-02-18,1
41,Location 1,Dry,2017-02-19,2017-02-26,8
42,Location 1,Wet,2017-02-27,2017-02-28,2
43,Location 1,Dry,2017-03-01,2017-05-06,67
44,Location 1,Wet,2017-05-07,2017-05-08,2
45,Location 1,Dry,2017-05-09,2018-01-08,245
46,Location 1,Wet,2018-01-09,2018-01-10,2
47,Location 1,Dry,2018-01-11,2018-02-26,47
48,Location 1,Wet,2018-02-27,2018-02-27,1
49,Location 1,Dry,2018-02-28,2018-03-02,3
50,Location 1,Wet,2018-03-03,2018-03-04,2
51,Location 1,Dry,2018-03-05,2018-03-10,6
52,Location 1,Wet,2018-03-11,2018-03-11,1
53,Location 1,Dry,2018-03-12,2018-03-13,2
54,Location 1,Wet,2018-03-14,2018-03-15,2
55,Location 1,Dry,2018-03-16,2018-03-16,1
56,Location 1,Wet,2018-03-17,2018-03-18,2
57,Location 1,Dry,2018-03-19,2018-03-22,4
58,Location 1,Wet,2018-03-23,2018-03-23,1
59,Location 1,Dry,2018-03-24,2018-10-03,194
60,Location 1,Wet,2018-10-04,2018-10-04,1
61,Location 1,Dry,2018-10-05,2018-10-12,8
62,Location 1,Wet,2018-10-13,2018-10-13,1
63,Location 1,Dry,2018-10-14,2018-11-21,39
64,Location 1,Wet,2018-11-22,2018-11-22,1
65,Location 1,Dry,2018-11-23,2018-11-28,6
66,Location 1,Wet,2018-11-29,2018-11-30,2
67,Location 1,Dry,2018-12-01,2018-12-05,5
68,Location 1,Wet,2018-12-06,2018-12-07,2
69,Location 1,Dry,2018-12-08,2018-12-24,17
70,Location 1,Wet,2018-12-25,2018-12-26,2
71,Location 1,Dry,2018-01-01,2018-12-31,365
72,Location 1,Wet,2018-01-09,2018-01-10,2
73,Location 1,Dry,2018-01-11,2018-02-26,47
74,Location 1,Wet,2018-02-27,2018-02-27,1
75,Location 1,Dry,2018-02-28,2018-03-02,3
76,Location 1,Wet,2018-03-03,2018-03-03,1
77,Location 1,Dry,2018-03-04,2018-03-10,7
78,Location 1,Wet,2018-03-11,2018-03-11,1
79,Location 1,Dry,2018-03-12,2018-03-14,3
80,Location 1,Wet,2018-03-15,2018-03-15,1
81,Location 1,Dry,2018-03-16,2018-03-16,1
82,Location 1,Wet,2018-03-17,2018-03-17,1
83,Location 1,Dry,2018-03-18,2018-03-22,5
84,Location 1,Wet,2018-03-23,2018-03-23,1
85,Location 1,Dry,2018-03-24,2018-10-03,194
86,Location 1,Wet,2018-10-04,2018-10-04,1
87,Location 1,Dry,2018-10-05,2018-11-21,48
88,Location 1,Wet,2018-11-22,2018-11-22,1
89,Location 1,Dry,2018-11-23,2018-11-28,6
90,Location 1,Wet,2018-11-29,2018-11-30,2
91,Location 1,Dry,2018-12-01,2018-12-05,5
92,Location 1,Wet,2018-12-06,2018-12-07,2
93,Location 1,Dry,2018-12-08,2018-12-24,17
