,SampleDate,CollectionTime,Analyte,Unit,Result,MDL,RL,Latitude,Longitude,Project,coordinates_x,Date,Name,Elevation (ft),ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa),coordinates_y
0,2022-01-12T00:00:00,13:12,"Nitrate as N, Dissolved",mg/L,5.3,0.48,2.0,35.3229,-120.8414,MBNEP Monitoring Program 2022,"(35.3229, -120.8414)",2022-01-12,Los Osos,62,0.0,46.4,59.4,72.4,33.5,4.01,20.83,"(35.3229, -120.8414)"
1,2022-01-12T00:00:00,13:19,"Nitrate as N, Dissolved",mg/L,0.94,0.48,2.0,35.3237,-120.8407,MBNEP Monitoring Program 2022,"(35.3237, -120.8407)",2022-01-12,Los Osos,62,0.0,46.4,59.4,72.4,33.5,4.01,20.83,"(35.3237, -120.8407)"
2,2022-01-12T00:00:00,13:19,"Nitrate as N, Dissolved",mg/L,0.94,0.48,2.0,35.3237,-120.8407,MBNEP Monitoring Program 2022,"(35.3237, -120.8407)",2022-01-12,Los Osos,62,0.0,46.4,59.4,72.4,33.5,4.01,20.83,"(35.3237, -120.8407)"
3,2022-01-12T00:00:00,13:37,"Nitrate as N, Dissolved",mg/L,22.0,0.048,0.2,35.3257,-120.8402,MBNEP Monitoring Program 2022,"(35.3257, -120.8402)",2022-01-12,Los Osos,62,0.0,46.4,59.4,72.4,33.5,4.01,20.83,"(35.3257, -120.8402)"
4,2022-03-16T00:00:00,14:45,"Nitrate as N, Dissolved",mg/L,8.0,1.2,5.0,35.3229,-120.8414,MBNEP Monitoring Program 2022,"(35.3229, -120.8414)",2022-03-16,Los Osos,62,0.0,44.4,56.8,69.1,51.6,0.01,9.28,"(35.3229, -120.8414)"
5,2022-03-16T00:00:00,14:38,"Nitrate as N, Dissolved",mg/L,,1.2,5.0,35.3237,-120.8407,MBNEP Monitoring Program 2022,"(35.3237, -120.8407)",2022-03-16,Los Osos,62,0.0,44.4,56.8,69.1,51.6,0.01,9.28,"(35.3237, -120.8407)"
6,2022-03-16T00:00:00,14:38,"Nitrate as N, Dissolved",mg/L,,1.2,5.0,35.3237,-120.8407,MBNEP Monitoring Program 2022,"(35.3237, -120.8407)",2022-03-16,Los Osos,62,0.0,44.4,56.8,69.1,51.6,0.01,9.28,"(35.3237, -120.8407)"
7,2022-03-16T00:00:00,14:18,"Nitrate as N, Dissolved",mg/L,14.0,0.048,0.2,35.325,-120.8403,MBNEP Monitoring Program 2022,"(35.325, -120.8403)",2022-03-16,Los Osos,62,0.0,44.4,56.8,69.1,51.6,0.01,9.28,"(35.325, -120.8403)"
8,2022-03-16T00:00:00,14:07,"Nitrate as N, Dissolved",mg/L,20.0,0.12,0.5,35.3257,-120.8402,MBNEP Monitoring Program 2022,"(35.3257, -120.8402)",2022-03-16,Los Osos,62,0.0,44.4,56.8,69.1,51.6,0.01,9.28,"(35.3257, -120.8402)"
9,2022-07-20T00:00:00,09:14,E. coli,MPN/100 mL,228.2,-88.0,1.0,37.38,-118.4049,Fecal indicator bacteria study in Bishop area,"(37.38, -118.4049)",2022-07-20,Dixon Lane-M,4199,0.0,66.5,81.8,97.0,48.0,9.75,48.47,"(37.38, -118.4049)"
10,2022-06-08T00:00:00,08:53,E. coli,MPN/100 mL,19.9,-88.0,1.0,37.3802,-118.4049,Fecal indicator bacteria study in Bishop area,"(37.3802, -118.4049)",2022-06-08,Dixon Lane-M,4199,0.0,53.6,73.6,93.7,29.4,7.67,49.58,"(37.3802, -118.4049)"
11,2022-06-15T00:00:00,09:20,E. coli,MPN/100 mL,45.7,-88.0,1.0,37.3802,-118.4049,Fecal indicator bacteria study in Bishop area,"(37.3802, -118.4049)",2022-06-15,Dixon Lane-M,4199,0.0,48.2,66.5,84.8,20.1,8.31,37.58,"(37.3802, -118.4049)"
12,2022-06-21T00:00:00,08:56,E. coli,MPN/100 mL,18.9,-88.0,1.0,37.3802,-118.4049,Fecal indicator bacteria study in Bishop area,"(37.3802, -118.4049)",2022-06-21,Dixon Lane-M,4199,0.0,46.3,64.5,82.7,25.3,5.87,33.84,"(37.3802, -118.4049)"
13,2022-06-28T00:00:00,09:31,E. coli,MPN/100 mL,24.6,-88.0,1.0,37.3802,-118.4049,Fecal indicator bacteria study in Bishop area,"(37.3802, -118.4049)",2022-06-28,Dixon Lane-M,4199,0.0,60.4,79.0,97.6,36.2,10.47,54.56,"(37.3802, -118.4049)"
14,2022-07-06T00:00:00,09:59,E. coli,MPN/100 mL,21.6,-88.0,1.0,37.3802,-118.4049,Fecal indicator bacteria study in Bishop area,"(37.3802, -118.4049)",2022-07-06,Dixon Lane-M,4199,0.0,56.6,73.6,90.6,39.9,6.93,41.63,"(37.3802, -118.4049)"
15,2022-07-12T00:00:00,09:36,E. coli,MPN/100 mL,23.1,-88.0,1.0,37.3802,-118.4049,Fecal indicator bacteria study in Bishop area,"(37.3802, -118.4049)",2022-07-12,Dixon Lane-M,4199,0.0,63.2,81.3,99.5,30.0,14.17,58.26,"(37.3802, -118.4049)"
